amenity_type
parking_entrance
ferry_terminal
pharmacy
cinema
recycling
drinking_water
clinic
fast_food
parking
post_box
library
bank
place_of_worship
theatre
restaurant
bar
fuel
telephone
doctors
taxi
toilets
vending_machine
townhall
bicycle_parking
community_centre
bicycle_rental
cafe
compressed_air
post_office
atm
bench
pub
university
car_sharing
bureau_de_change
ice_cream
arts_centre
school
apartments
stripclub
brothel
union
college
food_court
fountain
shelter
kindergarten
waste_disposal
social_centre
grit_bin
language_school
veterinary
driving_school
waste_basket
conference_centre
nightclub
hospital
police
internet_cafe
car_wash
charging_station
prep_school
bbq
dentist
car_rental
vacuum_cleaner
training
clock
marketplace
post_depot
luggage_locker
social_facility
signs
stock_exchange
pastries
music_school
tap
studio
shower
motorcycle_rental
motorcycle_parking
childcare
bicycle_repair_station
dormitory
aparthotel
monastery
dancing_school
courthouse
water_point
gambling
vehicle_inspection
love_hotel
dance_school
nursing_home
warehouse
coworking_space
photo_booth
research_institute
dojo
locker
events_venue
casino
planetarium
parking_space
parcel_locker
table
bus_station
bicycle_rental;left_luggage
money_transfer
beauty_school
flight_attendant
therapist
public_bookcase
sailing_school
letter_box
office
swingers club
watering_place
relay_box
exhibition_centre
sanitary_dump_station
grocery
karaoke_box
toy_library
piano
lounger
hookah_lounge
scooter_rental
animal_shelter
boat_rental
wifi
dressing_room
loading_dock
boat_storage
fixme
dive_centre
surf_school
security_control
kick-scooter_parking
ticket_validator
freeshop
kitchen
exhibition_hall
fire_station
public
market
grave_yard
funeral_home
prison
crematorium
public_building
gym
smoking_area
workshop
collection
garden
dog_toilet
traffic_park
place_of_mourning
